node_id,donors_cm3,acceptors_cm3
243,10000000000000034,0
244,10000000000000034,0
245,10000000000000034,0
246,10000000000000034,0
247,10000000000000034,0
248,10000000000000034,0
249,10000000000000034,0
250,10000000000000034,0
251,10000000000000034,0
252,10000000000000034,0
253,10000000000000034,0
254,10000000000000034,0
255,10000000000000034,0
256,10000000000000034,0
257,10000000000000034,0
258,10000000000000034,0
259,10000000000000034,0
260,10000000000000034,0
261,10000000000000034,0
262,10000000000000034,0
263,10000000000000034,0
264,10000000000000034,0
265,10000000000000034,0
266,10000000000000034,0
267,10000000000000034,0
268,10000000000000034,0
269,10000000000000034,0
270,10000000000000034,0
271,10000000000000034,0
272,10000000000000034,0
273,10000000000000034,0
274,10000000000000034,0
275,10000000000000034,0
276,10000000000000034,0
277,10000000000000034,0
278,10000000000000034,0
279,10000000000000034,0
280,10000000000000034,0
281,10000000000000034,0
282,10000000000000034,0
283,10000000000000034,0
284,10000000000000034,0
285,10000000000000034,0
286,10000000000000034,0
287,10000000000000034,0
288,10000000000000034,0
289,10000000000000034,0
290,10000000000000034,0
291,10000000000000034,0
292,10000000000000034,0
293,10000000000000034,0
294,10000000000000034,0
295,10000000000000034,0
296,10000000000000034,0
297,10000000000000034,0
298,10000000000000034,0
299,10000000000000034,0
300,10000000000000034,0
301,10000000000000034,0
302,10000000000000034,0
303,10000000000000034,0
304,10000000000000034,0
305,10000000000000034,0
306,10000000000000034,0
307,10000000000000034,0
308,10000000000000034,0
309,10000000000000034,0
310,10000000000000034,0
311,10000000000000034,0
312,10000000000000034,0
313,10000000000000034,0
314,10000000000000034,0
315,10000000000000034,0
316,10000000000000034,0
317,10000000000000034,0
318,10000000000000034,0
319,10000000000000034,0
320,10000000000000034,0
321,10000000000000034,0
322,10000000000000034,0
323,10000000000000034,0
324,10000000000000034,0
325,10000000000000034,0
326,10000000000000034,0
327,10000000000000034,0
328,10000000000000034,0
329,10000000000000034,0
330,10000000000000034,0
331,10000000000000034,0
332,10000000000000034,0
333,10000000000000034,0
334,10000000000000034,0
335,10000000000000034,0
336,10000000000000034,0
337,10000000000000034,0
338,10000000000000034,0
339,10000000000000034,0
340,10000000000000034,0
341,10000000000000034,0
342,10000000000000034,0
343,10000000000000034,0
344,10000000000000034,0
